GO_ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Direction,GO_Description,GO_Category,Ontology,Dataset
GO:0004364,GO:0004364,106/7648,326/100553,0.32515337423312884,4.2749931013681755,16.993255073507825,4.8845968688346134e-39,5.407248733799917e-36,3.8973941332385654e-36,TraesCS1A03G0034000.1/TraesCS1A03G0039400.1/TraesCS1A03G0193000.1/TraesCS1A03G0501600.1/TraesCS1A03G0501900.1/TraesCS1A03G0502000.1/TraesCS1A03G0502500.1/TraesCS1A03G0502600.1/TraesCS1A03G0503000.1/TraesCS1B03G0260800.1/TraesCS1B03G0306600.1/TraesCS1B03G0306700.1/TraesCS1B03G0574000.1/TraesCS1B03G0574200.1/TraesCS1B03G0574300.1/TraesCS1B03G0574400.1/TraesCS1B03G0574600.1/TraesCS1B03G0574900.1/TraesCS1D03G0185900.1/TraesCS1D03G0221200.1/TraesCS1D03G0221300.1/TraesCS1D03G0221600.1/TraesCS1D03G0485600.1/TraesCS1D03G0485700.1/TraesCS1D03G0485700.2/TraesCS1D03G0485900.1/TraesCS1D03G0486000.1/TraesCS1D03G0486100.1/TraesCS1D03G0486300.1/TraesCS1D03G0486500.1/TraesCS1D03G0486700.1/TraesCS1D03G0487600.1/TraesCS2A03G0085500.2/TraesCS2A03G0085500.1/TraesCS2A03G0294300.1/TraesCS2A03G0467200.1/TraesCS2B03G1071900.1/TraesCS2B03G1436700.1/TraesCS2B03G1436800.1/TraesCS2B03G1525600.1/TraesCS2B03G1525800.1/TraesCS2D03G0080400.1/TraesCS2D03G0476000.1/TraesCS2D03G1209400.1/TraesCS2D03G1289800.1/TraesCS2D03G1290200.1/TraesCS3A03G0664700.1/TraesCS3A03G0745700.1/TraesCS3A03G1018500.1/TraesCS3A03G1018700.1/TraesCS3A03G1019600.1/TraesCS3A03G1066700.1/TraesCS3A03G1145300.1/TraesCS3B03G0056800.1/TraesCS3B03G0759400.1/TraesCS3B03G1165300.1/TraesCS3B03G1166200.1/TraesCS3B03G1214400.1/TraesCS3B03G1335500.1/TraesCS3B03G1345100.1/TraesCS3B03G1345200.1/TraesCS3D03G0608100.1/TraesCS3D03G0686600.1/TraesCS3D03G0945900.1/TraesCS3D03G0946100.1/TraesCS3D03G0946200.1/TraesCS3D03G0946300.1/TraesCS3D03G0946800.1/TraesCS3D03G0978600.1/TraesCS3D03G0995000.1/TraesCS3D03G0995000.2/TraesCS3D03G1068100.1/TraesCS3D03G1074100.1/TraesCS3D03G1077400.1/TraesCS3D03G1077900.1/TraesCS4A03G0212800.1/TraesCS4A03G0214400.1/TraesCS4A03G0866100.1/TraesCS4A03G1082500.1/TraesCS4D03G0492800.1/TraesCS4D03G0493500.1/TraesCS4D03G0699100.1/TraesCS5A03G0058300.1/TraesCS5B03G0049000.1/TraesCS5B03G0050700.1/TraesCS5B03G0512200.1/TraesCS5B03G0944900.1/TraesCS5B03G1052000.1/TraesCS5B03G1070800.1/TraesCS5D03G0074100.1/TraesCS6A03G0329800.1/TraesCS6B03G0425000.1/TraesCS6D03G0283400.1/TraesCS6D03G0283500.1/TraesCS7A03G0044700.1/TraesCS7A03G0109700.1/TraesCS7A03G0197800.1/TraesCS7A03G0311400.1/TraesCS7A03G1278700.1/TraesCS7B03G0225200.1/TraesCS7D03G0100700.1/TraesCS7D03G0180100.1/TraesCS7D03G1135000.1/TraesCS7D03G1216300.1/TraesCSU03G0111800.2/TraesCSU03G0111800.1,106,Up,glutathione transferase activity,molecular_function,MF,SN15_vs_Tween
GO:0016841,GO:0016841,41/7648,63/100553,0.6507936507936508,8.556387809656638,17.213645022289114,1.1835085737198485e-30,5.791949319686693e-28,4.174675590094151e-28,TraesCS5B03G1146700.1/TraesCS1A03G0089700.1/TraesCS1B03G0108400.1/TraesCS1B03G0108600.1/TraesCS1B03G0108600.2/TraesCS1B03G0108700.2/TraesCS1B03G0108700.1/TraesCS1D03G0078900.1/TraesCS1D03G0079200.1/TraesCS2A03G0454500.1/TraesCS2A03G0922600.1/TraesCS2A03G0922700.1/TraesCS2A03G0922800.1/TraesCS2A03G0922900.1/TraesCS2B03G0540200.1/TraesCS2B03G1014000.1/TraesCS2B03G1014000.2/TraesCS2B03G1015000.1/TraesCS2B03G1015300.1/TraesCS2D03G0428000.1/TraesCS2D03G0459600.1/TraesCS2D03G0862600.1/TraesCS2D03G0863100.1/TraesCS2D03G0863200.1/TraesCS2D03G0863300.1/TraesCS4A03G0998200.1/TraesCS6A03G0613600.1/TraesCS6A03G0613700.1/TraesCS6A03G0614100.1/TraesCS6B03G0758700.3/TraesCS6B03G0758700.1/TraesCS6B03G0758700.2/TraesCS6B03G0759200.1/TraesCS6B03G0759200.2/TraesCS6B03G0759300.1/TraesCS6D03G0526000.2/TraesCS6D03G0526000.1/TraesCS6D03G0526600.1/TraesCS6D03G0526600.3/TraesCS6D03G0526600.2/TraesCS6D03G0526700.1,41,Up,ammonia-lyase activity,molecular_function,MF,SN15_vs_Tween
GO:0006559,GO:0006559,45/7648,77/100553,0.5844155844155844,7.6836741971417695,16.833685843890557,1.5696339619747135e-30,5.791949319686693e-28,4.174675590094151e-28,TraesCS5B03G1146700.1/TraesCS1A03G0089700.1/TraesCS1B03G0108400.1/TraesCS1B03G0108600.1/TraesCS1B03G0108600.2/TraesCS1B03G0108700.2/TraesCS1B03G0108700.1/TraesCS1D03G0078900.1/TraesCS1D03G0079200.1/TraesCS2A03G0454500.1/TraesCS2A03G0922600.1/TraesCS2A03G0922700.1/TraesCS2A03G0922800.1/TraesCS2A03G0922900.1/TraesCS2B03G0540200.1/TraesCS2B03G1014000.1/TraesCS2B03G1014000.2/TraesCS2B03G1015000.1/TraesCS2B03G1015300.1/TraesCS2D03G0428000.1/TraesCS2D03G0459600.1/TraesCS2D03G0862600.1/TraesCS2D03G0863100.1/TraesCS2D03G0863200.1/TraesCS2D03G0863300.1/TraesCS4A03G0998200.1/TraesCS6A03G0335700.2/TraesCS6A03G0335700.1/TraesCS6A03G0613600.1/TraesCS6A03G0613700.1/TraesCS6A03G0614100.1/TraesCS6B03G0433700.1/TraesCS6B03G0758700.3/TraesCS6B03G0758700.1/TraesCS6B03G0758700.2/TraesCS6B03G0759200.1/TraesCS6B03G0759200.2/TraesCS6B03G0759300.1/TraesCS6D03G0290400.1/TraesCS6D03G0526000.2/TraesCS6D03G0526000.1/TraesCS6D03G0526600.1/TraesCS6D03G0526600.3/TraesCS6D03G0526600.2/TraesCS6D03G0526700.1,45,Up,L-phenylalanine catabolic process,biological_process,BP,SN15_vs_Tween
GO:0006749,GO:0006749,75/7648,227/100553,0.3303964757709251,4.343927409544173,14.471474161495717,1.3757131081548408e-28,3.807286026818522e-26,2.744185621003604e-26,TraesCS1A03G0039400.1/TraesCS1A03G0193000.1/TraesCS1A03G0501600.1/TraesCS1A03G0501900.1/TraesCS1A03G0502000.1/TraesCS1A03G0502500.1/TraesCS1A03G0502600.1/TraesCS1A03G0503000.1/TraesCS1B03G0574000.1/TraesCS1B03G0574200.1/TraesCS1B03G0574300.1/TraesCS1B03G0574400.1/TraesCS1B03G0574600.1/TraesCS1B03G0574900.1/TraesCS1D03G0221300.1/TraesCS1D03G0485600.1/TraesCS1D03G0485700.2/TraesCS1D03G0485900.1/TraesCS1D03G0486000.1/TraesCS1D03G0486100.1/TraesCS1D03G0486300.1/TraesCS1D03G0486500.1/TraesCS1D03G0486700.1/TraesCS1D03G0487600.1/TraesCS2A03G0294300.1/TraesCS2A03G0467200.1/TraesCS2B03G1436700.1/TraesCS2B03G1436800.1/TraesCS2B03G1525600.1/TraesCS2B03G1525800.1/TraesCS2D03G0476000.1/TraesCS2D03G1209400.1/TraesCS2D03G1289800.1/TraesCS2D03G1290200.1/TraesCS3A03G0664700.1/TraesCS3A03G1018500.1/TraesCS3A03G1018700.1/TraesCS3A03G1019600.1/TraesCS3A03G1066700.1/TraesCS3A03G1145300.1/TraesCS3B03G0056800.1/TraesCS3B03G0759400.1/TraesCS3B03G1165300.1/TraesCS3B03G1166200.1/TraesCS3B03G1335500.1/TraesCS3B03G1345100.1/TraesCS3B03G1345200.1/TraesCS3D03G0608100.1/TraesCS3D03G0945900.1/TraesCS3D03G0946100.1/TraesCS3D03G0946200.1/TraesCS3D03G0946300.1/TraesCS3D03G0946800.1/TraesCS3D03G0995000.1/TraesCS3D03G0995000.2/TraesCS3D03G1068100.1/TraesCS3D03G1074100.1/TraesCS3D03G1077400.1/TraesCS3D03G1077900.1/TraesCS4A03G1082500.1/TraesCS4D03G0699100.1/TraesCS5B03G0512200.1/TraesCS5B03G0944900.1/TraesCS5B03G1052000.1/TraesCS6A03G0329800.1/TraesCS6B03G0425000.1/TraesCS6D03G0283400.1/TraesCS6D03G0283500.1/TraesCS6D03G0850600.1/TraesCS7A03G0044700.1/TraesCS7A03G0109700.1/TraesCS7A03G0197800.1/TraesCS7A03G0311400.1/TraesCS7D03G0100700.1/TraesCS7D03G0180100.1,75,Up,glutathione metabolic process,biological_process,BP,SN15_vs_Tween
GO:0030145,GO:0030145,77/7648,312/100553,0.2467948717948718,3.2447652645907095,11.393975667197905,1.760658930660978e-20,3.8980988724834055e-18,2.809640988296887e-18,TraesCS1A03G0231900.3/TraesCS1A03G0231900.2/TraesCS1A03G0231900.1/TraesCS1A03G0231900.4/TraesCS1B03G0178300.1/TraesCS1B03G0177800.1/TraesCS1B03G0346000.1/TraesCS1B03G0346000.2/TraesCS2A03G1085000.1/TraesCS2A03G1085100.1/TraesCS2B03G1216600.1/TraesCS2B03G1216800.1/TraesCS2B03G1577900.1/TraesCS2D03G1027200.1/TraesCS2D03G1027400.1/TraesCS3A03G0025800.1/TraesCS3A03G0026000.1/TraesCS3A03G0026100.1/TraesCS3B03G0728300.1/TraesCS3B03G0728400.1/TraesCS3D03G0021000.1/TraesCS3D03G0021100.1/TraesCS3D03G0021200.1/TraesCS3D03G0021300.1/TraesCS4A03G0281800.1/TraesCS4A03G0281800.2/TraesCS4A03G0493900.1/TraesCS4A03G0718900.1/TraesCS4A03G0719000.1/TraesCS4B03G0073200.1/TraesCS4B03G0073600.1/TraesCS4B03G0074000.1/TraesCS4B03G0966600.1/TraesCS4B03G0966700.1/TraesCS4B03G0966800.1/TraesCS4B03G0967300.1/TraesCS4B03G0967500.1/TraesCS4B03G0967800.2/TraesCS4B03G0967800.1/TraesCS4B03G0967900.1/TraesCS4B03G0968000.1/TraesCS4B03G0968200.1/TraesCS4B03G0969000.1/TraesCS4D03G0051400.1/TraesCS4D03G0051500.1/TraesCS4D03G0051700.1/TraesCS4D03G0053200.1/TraesCS4D03G0053300.1/TraesCS4D03G0053500.1/TraesCS4D03G0053600.1/TraesCS4D03G0053700.1/TraesCS4D03G0053900.1/TraesCS5A03G1271000.1/TraesCSU03G0144600.1/TraesCS4D03G0838600.1/TraesCS5A03G1270600.1/TraesCS5A03G1272500.1/TraesCS5A03G1272900.1/TraesCSU03G0140400.1/TraesCS5B03G0125000.1/TraesCS5B03G0233400.1/TraesCS5B03G1134600.1/TraesCS5D03G0135600.1/TraesCS5D03G1027100.1/TraesCS6A03G0966200.1/TraesCS6A03G0967400.1/TraesCS6D03G0846300.1/TraesCS6D03G0848200.1/TraesCS7A03G0934400.1/TraesCS7A03G1147100.1/TraesCS7A03G1147500.1/TraesCS7A03G1275200.1/TraesCS7B03G1006900.1/TraesCS7B03G1193300.1/TraesCS7D03G0902000.1/TraesCS7D03G1093000.1/TraesCS7D03G1211900.1,77,Up,manganese ion binding,molecular_function,MF,SN15_vs_Tween
GO:2000022,GO:2000022,33/7648,67/100553,0.4925373134328358,6.475693577093611,12.863925348788348,1.193722779823693e-19,2.2024185287747135e-17,1.58744187211642e-17,TraesCS1B03G0233100.1/TraesCS1D03G0166200.1/TraesCS2A03G0715200.1/TraesCS2B03G0472100.1/TraesCS2B03G0794500.1/TraesCS2D03G0662000.1/TraesCS3B03G0961300.1/TraesCS3D03G0769200.1/TraesCS4A03G0013400.1/TraesCS4A03G0013500.1/TraesCS4A03G0013600.1/TraesCS4B03G0546200.1/TraesCS4B03G0780000.1/TraesCS4D03G0482900.1/TraesCS4D03G0700300.1/TraesCS5A03G0549300.1/TraesCS5B03G0558800.1/TraesCS7A03G0473200.1/TraesCS7A03G0473300.1/TraesCS7A03G0473400.1/TraesCS7A03G0473700.1/TraesCS7A03G0474000.1/TraesCS7B03G0283200.1/TraesCS7B03G0283300.1/TraesCS7B03G0283400.1/TraesCS7B03G0283500.1/TraesCS7B03G0284300.1/TraesCS7D03G0455600.1/TraesCS7D03G0456500.1/TraesCS7D03G0456700.1/TraesCS7D03G0456900.1/TraesCS7D03G0457000.1/TraesCS7D03G0457300.1,33,Up,regulation of jasmonic acid mediated signaling pathway,biological_process,BP,SN15_vs_Tween
GO:0004568,GO:0004568,35/7648,80/100553,0.4375,5.752083878138075,12.199840664466347,1.1991795121977971e-18,1.6593646500037018e-16,1.196023776639382e-16,TraesCS1A03G0542400.1/TraesCS1A03G0542500.1/TraesCS1A03G0646400.1/TraesCS1B03G0269300.1/TraesCS1B03G0732500.1/TraesCS1B03G0732400.1/TraesCS1D03G0523200.2/TraesCS1D03G0523200.1/TraesCS1D03G0523300.1/TraesCS1D03G0523300.3/TraesCS1D03G0523300.2/TraesCS1D03G0604100.1/TraesCS2A03G0857500.1/TraesCS2D03G0798500.1/TraesCS2A03G0857700.1/TraesCS2B03G0949900.1/TraesCS2B03G0950100.1/TraesCS2D03G0061200.1/TraesCS2D03G0798400.1/TraesCS2D03G0798600.1/TraesCS2D03G0799000.1/TraesCS2D03G1332100.1/TraesCS3A03G0663800.1/TraesCS3A03G0663900.1/TraesCS3B03G0757500.1/TraesCS3D03G0606700.1/TraesCS3D03G0606900.1/TraesCS5A03G1172100.1/TraesCS5B03G0999600.1/TraesCS5D03G0905700.1/TraesCS6A03G0593800.1/TraesCS6D03G0494400.1/TraesCS7A03G1333700.1/TraesCS7B03G0998600.1/TraesCS7B03G1266900.1,35,Up,chitinase activity,molecular_function,MF,SN15_vs_Tween
GO:0016998,GO:0016998,35/7648,80/100553,0.4375,5.752083878138075,12.199840664466347,1.1991795121977971e-18,1.6593646500037018e-16,1.196023776639382e-16,TraesCS1A03G0542400.1/TraesCS1A03G0542500.1/TraesCS1A03G0646400.1/TraesCS1B03G0269300.1/TraesCS1B03G0732500.1/TraesCS1B03G0732400.1/TraesCS1D03G0523200.2/TraesCS1D03G0523200.1/TraesCS1D03G0523300.1/TraesCS1D03G0523300.3/TraesCS1D03G0523300.2/TraesCS1D03G0604100.1/TraesCS2A03G0857500.1/TraesCS2D03G0798500.1/TraesCS2A03G0857700.1/TraesCS2B03G0949900.1/TraesCS2B03G0950100.1/TraesCS2D03G0061200.1/TraesCS2D03G0798400.1/TraesCS2D03G0798600.1/TraesCS2D03G0799000.1/TraesCS2D03G1332100.1/TraesCS3A03G0663800.1/TraesCS3A03G0663900.1/TraesCS3B03G0757500.1/TraesCS3D03G0606700.1/TraesCS3D03G0606900.1/TraesCS5A03G1172100.1/TraesCS5B03G0999600.1/TraesCS5D03G0905700.1/TraesCS6A03G0593800.1/TraesCS6D03G0494400.1/TraesCS7A03G1333700.1/TraesCS7B03G0998600.1/TraesCS7B03G1266900.1,35,Up,cell wall macromolecule catabolic process,biological_process,BP,SN15_vs_Tween
GO:0009073,GO:0009073,44/7648,127/100553,0.3464566929133858,4.5550810463545615,11.502123764349381,2.5879367984348637e-18,2.9768160522017802e-16,2.1456060168011691e-16,TraesCS1B03G1241400.1/TraesCS1D03G1005300.1/TraesCS2B03G0895500.1/TraesCS2B03G0223400.1/TraesCS2B03G0456400.1/TraesCS2B03G1388900.1/TraesCS2D03G0158000.2/TraesCS2D03G0158000.1/TraesCS2D03G0672300.1/TraesCS2D03G0672300.2/TraesCS2D03G0750300.1/TraesCS3A03G0495000.1/TraesCS3B03G0575400.1/TraesCS3D03G0484000.2/TraesCS3D03G0484000.1/TraesCS4A03G0184500.2/TraesCS4A03G0184500.1/TraesCS7D03G0149700.1/TraesCS4D03G0738100.1/TraesCS5A03G0456200.1/TraesCS5A03G1040300.2/TraesCS5A03G1040300.1/TraesCS5A03G1156600.1/TraesCS5A03G1156600.2/TraesCS5B03G0449300.1/TraesCS5B03G1093500.2/TraesCS5B03G1093500.1/TraesCS5D03G0421900.1/TraesCS5D03G0984500.1/TraesCS5D03G0984800.1/TraesCS7A03G0429900.1/TraesCS7A03G0760600.1/TraesCS7A03G0841300.1/TraesCS7A03G0841300.2/TraesCS7A03G0949600.2/TraesCS7A03G0949600.1/TraesCS7B03G0238200.1/TraesCS7D03G0418000.1/TraesCS7D03G0565700.1/TraesCS7D03G0730000.1/TraesCS7D03G0914900.2/TraesCS7D03G0914900.1/TraesCS7D03G0914900.3/TraesCS7D03G1187100.1,44,Up,aromatic amino acid family biosynthetic process,biological_process,BP,SN15_vs_Tween
GO:0031347,GO:0031347,27/7648,48/100553,0.5625,7.395536414748954,12.7160876624384,2.689084057996188e-18,2.9768160522017802e-16,2.1456060168011691e-16,TraesCS2A03G0715200.1/TraesCS2B03G0472100.1/TraesCS2B03G0794500.1/TraesCS2D03G0662000.1/TraesCS4A03G0013400.1/TraesCS4A03G0013500.1/TraesCS4A03G0013600.1/TraesCS4B03G0780000.1/TraesCS4D03G0700300.1/TraesCS5A03G0549300.1/TraesCS5B03G0558800.1/TraesCS7A03G0473200.1/TraesCS7A03G0473300.1/TraesCS7A03G0473400.1/TraesCS7A03G0473700.1/TraesCS7A03G0474000.1/TraesCS7B03G0283200.1/TraesCS7B03G0283300.1/TraesCS7B03G0283400.1/TraesCS7B03G0283500.1/TraesCS7B03G0284300.1/TraesCS7D03G0455600.1/TraesCS7D03G0456500.1/TraesCS7D03G0456700.1/TraesCS7D03G0456900.1/TraesCS7D03G0457000.1/TraesCS7D03G0457300.1,27,Up,regulation of defense response,biological_process,BP,SN15_vs_Tween
GO:0009698,GO:0009698,58/7648,230/100553,0.25217391304347825,3.315486856467164,10.086854011472438,2.85327177843505e-16,2.871428962479637e-14,2.069645940721309e-14,TraesCS1B03G0108400.1/TraesCS1B03G0108600.1/TraesCS1B03G0108600.2/TraesCS1B03G0108700.2/TraesCS1B03G0108700.1/TraesCS1D03G0078900.1/TraesCS1D03G0079200.1/TraesCS1B03G0248900.1/TraesCS2A03G0298400.1/TraesCS2A03G0454500.1/TraesCS2A03G0922600.1/TraesCS2A03G0922700.1/TraesCS2A03G0922800.1/TraesCS2A03G0922900.1/TraesCS2A03G1280900.1/TraesCS2A03G1339000.1/TraesCS2B03G0419000.1/TraesCS2B03G0540200.1/TraesCS2B03G0911100.1/TraesCS2B03G1014000.1/TraesCS2B03G1014000.2/TraesCS2B03G1015000.1/TraesCS2B03G1015300.1/TraesCS2B03G1470000.1/TraesCS2B03G1515500.1/TraesCS2D03G0317000.1/TraesCS2D03G0428000.1/TraesCS2D03G0862600.1/TraesCS2D03G0863100.1/TraesCS2D03G0863200.1/TraesCS2D03G0863300.1/TraesCS2D03G1243500.1/TraesCS2D03G1278500.1/TraesCS2D03G1307900.1/TraesCS2D03G1309400.1/TraesCS4A03G0552100.1/TraesCS4A03G0998200.1/TraesCS4B03G0715000.2/TraesCS4B03G0715000.1/TraesCS4B03G0846200.1/TraesCS4D03G0216300.1/TraesCS4D03G0639000.1/TraesCS4D03G0754000.1/TraesCS4D03G0754000.2/TraesCS5A03G0857700.1/TraesCS5A03G1168500.1/TraesCS5B03G0903300.1/TraesCS5D03G0822600.1/TraesCS6A03G0363500.1/TraesCS6A03G0613700.1/TraesCS6A03G0614100.1/TraesCS6B03G0758700.3/TraesCS6B03G0758700.1/TraesCS6B03G0758700.2/TraesCS6B03G0759200.1/TraesCS6D03G0317700.1/TraesCS6D03G0526000.2/TraesCS6D03G0526000.1,58,Up,phenylpropanoid metabolic process,biological_process,BP,SN15_vs_Tween
GO:0006568,GO:0006568,27/7648,57/100553,0.47368421052631576,6.227820138735961,11.327483275643688,8.553752357301735e-16,7.297884575178752e-14,5.2601117367807664e-14,TraesCS1A03G1042500.2/TraesCS1A03G1042500.1/TraesCS1B03G1241400.1/TraesCS1D03G1005300.1/TraesCS5A03G0456200.1/TraesCS5A03G1040300.2/TraesCS5A03G1040300.1/TraesCS5B03G0449300.1/TraesCS5B03G1093500.2/TraesCS5B03G1093500.1/TraesCS5D03G0421900.1/TraesCS5D03G0984500.1/TraesCS5D03G0984800.1/TraesCS7A03G0760600.1/TraesCS7A03G0841300.1/TraesCS7A03G0841300.2/TraesCS7A03G0949600.2/TraesCS7A03G0949600.1/TraesCS7B03G0671400.1/TraesCS7B03G0794000.2/TraesCS7B03G0794000.1/TraesCS7B03G1143000.1/TraesCS7D03G0730000.1/TraesCS7D03G0914900.2/TraesCS7D03G0914900.1/TraesCS7D03G0914900.3/TraesCS7D03G1187100.1,27,Up,tryptophan metabolic process,biological_process,BP,SN15_vs_Tween
GO:0042973,GO:0042973,33/7648,85/100553,0.38823529411764707,5.104370231356141,10.861551502899562,8.570234821799798e-16,7.297884575178752e-14,5.2601117367807664e-14,TraesCS1A03G0608300.1/TraesCS1B03G0705900.1/TraesCS1D03G0580300.1/TraesCS3A03G1126500.1/TraesCS3A03G1130400.1/TraesCS3A03G1130400.2/TraesCS3A03G1131900.1/TraesCS3A03G1134100.1/TraesCS3A03G1134200.1/TraesCS3A03G1141700.1/TraesCS3B03G1306500.1/TraesCS3B03G1307400.1/TraesCS3B03G1311100.1/TraesCS3B03G1311900.2/TraesCS3B03G1311900.1/TraesCS3B03G1312000.1/TraesCS3B03G1317800.1/TraesCS3B03G1319000.1/TraesCS3B03G1319300.1/TraesCS3B03G1319800.1/TraesCS3B03G1329900.1/TraesCS3D03G1131500.1/TraesCS3D03G1131500.2/TraesCS3D03G1048800.1/TraesCS3D03G1052000.2/TraesCS3D03G1052000.1/TraesCS3D03G1052100.2/TraesCS3D03G1052100.1/TraesCS3D03G1055800.1/TraesCS3D03G1056500.1/TraesCS3D03G1065000.1/TraesCS5A03G0779400.1/TraesCSU03G0047200.1,33,Up,"glucan endo-1,3-beta-D-glucosidase activity",molecular_function,MF,SN15_vs_Tween
GO:0006032,GO:0006032,38/7648,116/100553,0.3275862068965517,4.306979061462992,10.225000222232929,4.1120978527022275e-15,3.25149451638669e-13,2.3435865957505927e-13,TraesCS1A03G0542400.1/TraesCS1A03G0542500.1/TraesCS1A03G0646400.1/TraesCS1B03G0269300.1/TraesCS1B03G0732500.1/TraesCS1B03G0732400.1/TraesCS1D03G0523200.2/TraesCS1D03G0523200.1/TraesCS1D03G0523300.1/TraesCS1D03G0523300.3/TraesCS1D03G0523300.2/TraesCS1D03G0604100.1/TraesCS2A03G0857500.1/TraesCS2D03G0798500.1/TraesCS2A03G0857700.1/TraesCS2B03G0949900.1/TraesCS2B03G0950100.1/TraesCS2D03G0061200.1/TraesCS2D03G0798400.1/TraesCS2D03G0798600.1/TraesCS2D03G0799000.1/TraesCS2D03G1009700.1/TraesCS2D03G1332100.1/TraesCS3A03G0663800.1/TraesCS3A03G0663900.1/TraesCS3A03G0666600.1/TraesCS3B03G0757500.1/TraesCS3D03G0564300.1/TraesCS3D03G0606700.1/TraesCS3D03G0606900.1/TraesCS5A03G1172100.1/TraesCS5B03G0999600.1/TraesCS5D03G0905700.1/TraesCS6A03G0593800.1/TraesCS6D03G0494400.1/TraesCS7A03G1333700.1/TraesCS7B03G0998600.1/TraesCS7B03G1266900.1,38,Up,chitin catabolic process,biological_process,BP,SN15_vs_Tween
GO:0071949,GO:0071949,66/7648,325/100553,0.20307692307692307,2.6699782748632117,8.651824914116155,2.1775491133194107e-13,1.607031245629725e-11,1.1583033178218338e-11,TraesCS1A03G0494500.1/TraesCS1A03G0494500.2/TraesCS1A03G0494500.3/TraesCS1D03G0995900.1/TraesCS1A03G1053400.1/TraesCS1B03G0598300.1/TraesCS1B03G1204700.1/TraesCS1B03G1254300.1/TraesCS1D03G0492600.2/TraesCS1D03G0492600.1/TraesCS1D03G0799200.1/TraesCS2A03G0784800.3/TraesCS2A03G0784800.2/TraesCS2A03G0784800.1/TraesCS2B03G0143500.1/TraesCS2B03G0351300.1/TraesCS2B03G0421300.1/TraesCS2B03G1431500.1/TraesCS2D03G0099700.1/TraesCS2D03G0265900.1/TraesCS2D03G0319500.1/TraesCS2D03G0857700.1/TraesCS3A03G0238600.1/TraesCS3A03G0298400.1/TraesCS3A03G0885500.1/TraesCS3B03G1308100.1/TraesCS3B03G0305700.1/TraesCS3D03G0230100.1/TraesCS3D03G0303900.1/TraesCS3D03G0306000.1/TraesCS3D03G0812700.1/TraesCS4B03G0720800.1/TraesCS4B03G0930400.1/TraesCS4B03G0997700.1/TraesCS4D03G0641800.1/TraesCS5A03G0245700.1/TraesCS5A03G0649400.1/TraesCS5A03G1012300.1/TraesCS5A03G1293900.1/TraesCS5D03G0257500.1/TraesCS5D03G0615400.1/TraesCS6D03G0765800.1/TraesCS6D03G0781400.1/TraesCS7A03G0332400.1/TraesCS7A03G0783600.1/TraesCS7A03G0865400.1/TraesCS7B03G0116500.1/TraesCS7B03G0116500.2/TraesCS7B03G0355600.1/TraesCS7B03G0749300.1/TraesCS7B03G0861700.1/TraesCS7B03G1123600.1/TraesCS7B03G1123600.2/TraesCS7B03G1127300.2/TraesCS7B03G1127300.1/TraesCS7D03G0321800.1/TraesCS7D03G0516900.1/TraesCS7D03G0748200.1/TraesCS7D03G0869900.1/TraesCS7D03G0870100.1/TraesCS7D03G0870600.1/TraesCS7D03G1178200.1/TraesCS7D03G1177500.2/TraesCS7D03G1177500.3/TraesCS7D03G1177500.4/TraesCS7D03G1177500.1,66,Up,FAD binding,molecular_function,MF,SN15_vs_Tween
